"sku","thumbnail","image","small_image"
"S49QUAN1412311012R1000","/F_DOC/BD_002_01_1.jpg","/F_DOC/BD_002_01_1.jpg","/F_DOC/BD_002_01_1.jpg"
"S49QUAN1412311012R1001","/F_DOC/BD_002_02_1.jpg","/F_DOC/BD_002_02_1.jpg","/F_DOC/BD_002_02_1.jpg"
"S49QUAN1412311012R1002","/F_DOC/BD_002_03_1.jpg","/F_DOC/BD_002_03_1.jpg","/F_DOC/BD_002_03_1.jpg"
"S49QUAN1412311012R1003","/F_DOC/BD_002_04_1.jpg","/F_DOC/BD_002_04_1.jpg","/F_DOC/BD_002_04_1.jpg"
"S49QUAN1412311012R1004","/F_DOC/BD_002_05_1.jpg","/F_DOC/BD_002_05_1.jpg","/F_DOC/BD_002_05_1.jpg"
"S49QUAN1412311012R1005","/F_DOC/BD_002_06_1.jpg","/F_DOC/BD_002_06_1.jpg","/F_DOC/BD_002_06_1.jpg"
"S49QUAN1412311012R1006","/F_DOC/BD_002_07_1.jpg","/F_DOC/BD_002_07_1.jpg","/F_DOC/BD_002_07_1.jpg"
"S49QUAN1412311012R1007","/F_DOC/BD_002_08_1.jpg","/F_DOC/BD_002_08_1.jpg","/F_DOC/BD_002_08_1.jpg"
"S43QUAN1413311012R1000","/YAME/DN_004_02_1.jpg","/YAME/DN_004_02_1.jpg","/YAME/DN_004_02_1.jpg"
"S43QUAN1413311012R1001","/YAME/DN_004_23_3.jpg","/YAME/DN_004_23_3_(2).jpg","/YAME/DN_004_23_3_(3).jpg"
"S43QUAN1413311012R1002","/YAME/DN_004_24_2.jpg","/YAME/DN_004_24_2_(2).jpg","/YAME/DN_004_24_2.jpg"
"S43QUAN1413311012R1003","/YAME/DN_004_25_2.jpg","/YAME/DN_004_25_2_(2).jpg","/YAME/DN_004_25_2.jpg"
